Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources,EV J1772 Connector Count,EV J1772 Power Output (kW),EV CCS Connector Count,EV CCS Power Output (kW),EV CHAdeMO Connector Count,EV CHAdeMO Power Output (kW),EV J3400 Connector Count,EV J3400 Power Output (kW)
ELEC,Sheehy Nissan - Manassas,9010 Liberia Ave,,Manassas,VA,20110,,703-361-5161,E,,Public - Call ahead,Dealership business hours,,,,,,2.0,1.0,,Non-Networked,,200-9,38.760854,-77.459274,2024-02-12,39769,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,1,,0,,0,,0,
ELEC,Brea Downtown Parking,101 S Brea Blvd,,Brea,CA,92821,,714-990-7650,E,,Public,Garage business hours; 4 hour parking limit,,,,,,4.0,,,Non-Networked,,200-8,33.919899,-117.898618,2023-07-11,21561,2024-01-31 22:07:01 UTC,LG,,,2002-05-30,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,,,,,,,,,,,False,,,,,,,,LD,False,,1,,0,,0,,0,
ELEC,Jupiter Town Hall Complex,210 Military Trail,"South of Indiantown Rd, on the west side of Military Trail. EVSE in southwest corner of parking lot near the cell tower.",Jupiter,FL,33458,,561-746-5134,E,,Public,24 hours daily,,,,,,2.0,,,Non-Networked,,GPS,26.9322,-80.1027,2022-10-11,40594,2023-02-14 15:54:11 UTC,LG,,,2011-07-14,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,True,,1,,0,,0,,0,
ELEC,City of Greenville - Poinsett Garage,25 W McBee Ave,,Greenville,SC,29601,,864-467-4900,E,,Public,24 hours daily; pay lot,,,,,,4.0,,,Non-Networked,,200-9,34.849724,-82.400667,2024-10-11,38303,2024-10-11 18:09:31 UTC,LG,,,2011-03-01,,,,,J1772,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,1,,0,,0,,0,
ELEC,Home Depot,2745 Teller Rd,In front of garden center,Newbury Park,CA,91320,,805-375-6680,E,,Public,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,,,,,4.0,2.0,,,Non-Networked,,GPS,34.192178,-118.934793,2023-08-10,21565,2024-01-31 22:07:01 UTC,P,,,2002-05-15,,,,,J1772 NEMA515,US,,,,Public,,public,,,SHOPPING_CENTER,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,0,,0,,0,,0,
ELEC,Bill Robertson Nissan,928 N 28th Ave,,Pasco,WA,99301,,509-545-3000,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,,,Non-Networked,,200-9,46.236607,-119.128998,2024-02-12,39787,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False,,,,,,,,,False,,1,,0,,0,,0,
ELEC,Carson Nissan,1505 E 223rd St,,Carson,CA,90745,,310-221-5119,E,,Public - Call ahead,Dealership business hours,,,,,,2.0,1.0,,Non-Networked,,200-8,33.82498,-118.24566,2024-02-12,39873,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,0,,1,50.0,1,50.0,0,
ELEC,Ross Nissan El Monte,3428 N Peck Rd,,El Monte,CA,91731,,800-859-8445,E,,Public - Call ahead,Dealership business hours,,,,,,2.0,1.0,,Non-Networked,,200-8,34.06964,-118.02703,2024-02-12,39887,2024-02-12 15:25:05 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,1,,0,,0,,0,
ELEC,California State University - Northridge,18111 Nordhoff St,Lot G9 structure; Near Zelzah and Kenzie second level parking,Northridge,CA,91330,,818-677-1200,E,,Public,24 hours daily; parking permit required,,,,,,2.0,,,Non-Networked,,GPS,34.248959,-118.523887,2023-10-12,21395,2024-01-31 22:07:01 UTC,P,,,2002-01-15,,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free,,,,,,,,,,True,,,,,,,,LD,False,,1,,0,,0,,0,
ELEC,Citrus Heights City Hall,6360 Fountain Square Dr,Stations at rear and entrance,Citrus Heights,CA,95621,,916-725-2448,E,,Public,24 hours daily,,,,,,4.0,,1 SP Inductive,Non-Networked,,GPS,38.682605,-121.297614,2022-08-10,25519,2023-02-14 15:54:11 UTC,LG,,,2016-02-01,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,1,,0,,0,,0,
